clip,timestamp,rat003_center_x,rat003_center_y,rat004_center_x,rat004_center_y,rat005_center_x,rat005_center_y,rat006_center_x,rat006_center_y,rat007_center_x,rat007_center_y,rat010_center_x,rat010_center_y,rat030_center_x,rat030_center_y,rat031_center_x,rat031_center_y,rat032_center_x,rat032_center_y,rat033_center_x,rat033_center_y,rat034_center_x,rat034_center_y,rat035_center_x,rat035_center_y
C1,1718890991967237656,2128,95,1987,599,2063,937,1738,487,1586,823,1579,747,576,618,203,255,983,435,98,172,1397,241,202,422
C1,1718890992067237576,2126,96,1988,618,2056,932,1754,463,1573,824,1576,746,574,622,204,255,1002,441,114,166,1413,256,202,421
C1,1718890992167237536,2127,96,1980,652,2076,925,1762,453,1571,825,1576,745,574,620,203,253,1024,444,114,174,1417,251,202,418
C1,1718890992267237472,2127,98,1971,688,2094,921,1770,447,1564,825,1576,745,586,623,205,254,1042,442,105,205,1415,239,199,416
C1,1718890992367237368,2128,98,1955,726,2099,912,1790,438,1559,827,1577,746,587,620,206,255,1057,440,85,219,1407,232,198,420
C1,1718890992467237312,2132,97,1947,765,2099,913,1806,431,1550,829,1577,746,586,620,203,255,1070,439,94,259,1396,236,191,414
C1,1718890992567237240,2135,94,1940,795,2109,892,1820,424,1549,829,1577,746,586,621,202,254,1075,433,105,278,1357,241,184,407
C1,1718890992667237216,2137,94,1932,822,2119,868,1830,422,1551,828,1577,747,586,620,204,254,1076,428,106,298,1331,255,181,390
C1,1718890992767237208,2138,94,1935,848,2118,837,1838,419,1553,828,1580,749,590,620,206,255,1074,428,109,317,1324,261,183,382
C1,1718890992867237152,2135,96,1934,863,2119,822,1844,412,1559,827,1581,749,593,622,207,256,1077,422,114,329,1307,262,174,382
C1,1718890992967237056,2123,102,1930,863,2119,806,1854,397,1559,830,1583,750,592,623,211,258,1079,413,118,335,1289,262,183,386
C1,1718890993067236952,2116,102,1936,871,2121,777,1870,370,1564,833,1581,748,608,632,210,259,1069,398,121,336,1276,262,185,383
C1,1718890993167236840,2120,115,1933,865,2114,743,1883,346,1562,837,1576,745,637,642,207,257,1061,383,125,337,1282,266,183,388
C1,1718890993267236776,2121,131,1928,853,2108,712,1893,324,1562,835,1568,742,663,650,198,253,1051,365,131,339,1279,269,179,401
C1,1718890993367236800,2117,170,1927,852,2106,676,1908,304,1569,830,1551,738,686,655,193,255,1041,352,146,342,1267,268,175,414
C1,1718890993467236696,2105,196,1929,854,2101,642,1936,272,1566,825,1548,736,697,657,187,258,1037,353,151,341,1263,266,171,425
C1,1718890993567236640,2098,223,1928,856,2106,611,1950,254,1565,827,1546,735,710,660,176,259,1037,352,157,338,1266,263,174,440
C1,1718890993667236544,2082,255,1929,857,2109,576,1963,241,1566,831,1542,734,715,661,159,256,1037,351,177,330,1270,258,182,448
C1,1718890993767236512,2066,278,1929,856,2113,554,1978,226,1565,836,1544,735,722,669,153,256,1038,351,200,328,1265,260,187,462
C1,1718890993867236456,2060,288,1934,874,2116,527,1989,210,1563,839,1544,734,732,674,151,260,1035,341,214,328,1262,259,196,475
C1,1718890993967236304,2059,299,1936,877,2122,503,1996,195,1563,839,1545,735,736,676,151,263,1035,333,219,327,1275,262,207,484
C1,1718890994067236192,2057,322,1937,877,2126,476,2002,185,1562,840,1546,734,742,680,147,268,1039,307,228,325,1276,274,210,501
C1,1718890994167236160,2062,331,1936,874,2116,459,2005,180,1558,845,1539,731,738,682,142,274,1049,299,240,325,1273,286,199,528
C1,1718890994267236176,2064,339,1928,855,2117,449,2005,169,1554,849,1538,730,739,684,136,276,1049,299,258,329,1280,309,195,568
C1,1718890994367236040,2067,348,1928,856,2116,445,2005,165,1553,851,1544,734,738,681,132,284,1050,296,279,339,1282,317,202,591
C1,1718890994467235976,2072,365,1923,854,2126,427,2011,166,1554,853,1547,735,745,693,132,299,1051,296,294,346,1291,330,206,589
C1,1718890994567235856,2077,382,1926,857,2134,401,2023,157,1555,851,1537,731,745,692,133,312,1052,296,316,358,1289,349,204,592
C1,1718890994667235904,2082,391,1930,855,2136,374,2040,144,1553,852,1540,736,748,691,134,332,1056,295,325,368,1276,373,200,597
C1,1718890994767235808,2085,404,1930,858,2132,343,2056,133,1554,850,1536,737,747,687,141,344,1058,296,358,388,1271,397,200,601
C1,1718890994867235728,2087,411,1943,843,2126,319,2062,127,1553,853,1507,739,745,681,141,354,1068,296,376,398,1269,405,194,605
C1,1718890994967235616,2092,428,1940,827,2127,303,2058,132,1554,852,1481,736,748,684,138,387,1074,299,397,408,1267,404,191,604
C1,1718890995067235528,2097,436,1940,813,2131,280,2059,133,1554,853,1466,731,748,684,137,420,1081,304,411,412,1270,401,201,611
C1,1718890995167235504,2103,461,1939,790,2129,266,2065,131,1554,854,1455,722,747,682,139,440,1084,305,423,421,1269,403,204,615
C1,1718890995267235432,2097,496,1942,769,2128,253,2063,134,1556,852,1437,711,748,683,141,469,1085,304,429,428,1243,434,204,614
C1,1718890995367235320,2097,526,1939,752,2128,234,2064,134,1556,852,1419,707,745,679,141,482,1086,304,428,428,1215,482,203,610
C1,1718890995467235352,2100,555,1956,734,2129,210,2064,134,1556,852,1396,702,745,680,143,505,1084,300,428,429,1208,533,203,645
C1,1718890995567235296,2101,574,1982,709,2127,197,2064,132,1555,852,1379,697,748,685,144,517,1086,301,428,429,1204,542,204,647
C1,1718890995667235248,2101,591,1996,671,2128,175,2057,132,1555,851,1358,691,754,698,143,536,1091,296,429,429,1200,565,204,650
C1,1718890995767235160,2103,608,2010,661,2130,151,2059,128,1555,851,1341,682,760,715,142,548,1091,294,430,428,1214,594,188,663
C1,1718890995867235056,2111,633,2016,652,2135,129,2060,130,1554,849,1329,667,771,735,141,556,1082,298,431,428,1215,609,176,673
C1,1718890995967234936,2110,659,2028,639,2134,115,2069,148,1551,849,1317,652,779,751,143,557,1082,293,431,428,1202,655,171,675
C1,1718890996067234912,2112,681,2039,616,2127,110,2077,163,1549,849,1308,637,780,760,145,557,1076,294,433,428,1201,724,169,669
C1,1718890996167234816,2111,706,2053,603,2122,107,2085,177,1551,847,1292,606,779,763,145,550,1071,296,434,427,1211,772,166,675
C1,1718890996267234752,2111,732,2062,595,2104,96,2090,194,1555,844,1275,564,778,763,145,548,1063,296,434,426,1211,805,165,685
C1,1718890996367234704,2109,754,2092,580,2094,87,2091,211,1560,839,1276,556,779,767,147,552,1049,296,433,425,1207,848,168,701
C1,1718890996467234624,2109,773,2102,574,2092,87,2093,235,1563,836,1275,538,783,772,153,571,1025,296,435,425,1216,875,167,705
C1,1718890996567234552,2110,790,2106,568,2077,87,2093,256,1562,837,1270,502,786,774,153,582,1012,297,436,424,1217,892,168,708
C1,1718890996667234472,2108,800,2107,557,2055,84,2093,270,1562,833,1275,466,789,779,155,592,996,301,440,425,1217,902,167,712
C1,1718890996767234472,2101,813,2114,539,2048,84,2088,285,1565,811,1278,438,794,791,156,596,980,301,442,426,1214,916,170,718
C1,1718890996867234424,2097,826,2120,530,2033,78,2084,295,1566,813,1283,412,795,792,158,598,956,299,444,427,1209,927,183,726
C1,1718890996967234392,2095,844,2121,521,2018,76,2080,297,1577,823,1283,383,796,789,161,596,947,297,442,428,1207,935,186,726
C1,1718890997067234248,2096,858,2124,496,2005,74,2079,300,1590,824,1287,357,797,794,164,599,939,298,442,430,1210,933,183,730
C1,1718890997167234168,2097,863,2116,473,1991,73,2080,298,1596,824,1287,347,797,794,162,602,933,302,438,432,1208,933,185,731
C1,1718890997267234056,2097,868,2101,452,1980,69,2081,298,1607,829,1282,340,797,796,161,608,924,305,439,433,1208,919,191,734
C1,1718890997367234048,2097,873,2093,433,1945,70,2081,299,1623,836,1283,331,797,796,160,604,912,311,440,433,1216,908,198,735
C1,1718890997467234032,2100,878,2084,418,1930,69,2081,299,1649,853,1287,318,796,792,162,604,901,318,442,435,1235,916,208,732
C1,1718890997567233888,2098,889,2079,409,1928,71,2081,299,1666,861,1293,299,796,790,163,608,884,340,442,436,1307,914,212,732
C1,1718890997667233888,2101,897,2075,404,1903,67,2081,299,1674,862,1295,282,800,796,160,617,878,354,439,438,1356,902,223,728
C1,1718890997767233800,2101,895,2065,388,1879,64,2082,297,1675,862,1298,273,803,803,161,619,873,365,440,440,1385,907,236,726
C1,1718890997867233688,2095,897,2056,362,1876,65,2083,293,1679,860,1299,268,800,809,167,625,864,375,439,439,1415,915,245,726
C1,1718890997967233712,2088,904,2041,339,1857,64,2085,292,1679,859,1299,270,797,809,170,626,869,374,439,442,1438,907,259,724
C1,1718890998067233592,2077,920,2029,324,1830,65,2085,293,1679,858,1298,272,792,809,162,634,867,377,436,445,1523,933,291,719
C1,1718890998167233536,2065,928,2027,328,1821,68,2085,292,1679,857,1297,274,789,812,183,667,868,376,432,448,1582,938,313,712
C1,1718890998267233520,2042,934,2025,334,1826,66,2084,294,1679,857,1297,274,778,811,174,667,870,376,436,453,1600,1043,321,705
C1,1718890998367233368,2024,936,2025,335,1824,65,2083,295,1678,857,1298,277,770,809,171,674,871,376,432,462,1615,924,324,703
C1,1718890998467233312,1994,938,2025,336,1823,66,2084,295,1679,857,1297,278,762,807,174,676,872,375,430,478,1687,923,327,699
C1,1718890998567233320,1979,938,2026,336,1821,65,2084,295,1680,856,1297,286,764,812,178,680,872,376,431,491,1727,921,326,696
